iter	Logloss
0	0.6566327911
1	0.6001109891
2	0.5558575206
3	0.5188446149
4	0.4816741145
5	0.4565219659
6	0.4323533234
7	0.4127145661
8	0.3960904517
9	0.3875192679
10	0.3752947532
11	0.3666867964
12	0.3615459414
13	0.3522364489
14	0.3471330562
15	0.3416330003
16	0.3369002134
17	0.3337498275
18	0.3295322526
19	0.3232975633
20	0.3188912981
21	0.3160706926
22	0.3126457466
23	0.3077557496
24	0.3057121993
25	0.3032706439
26	0.3011771529
27	0.2976373048
28	0.2939154906
29	0.291344303
30	0.2902806127
31	0.2866821904
32	0.2849808695
33	0.2835603584
34	0.2830330801
35	0.2811021058
36	0.280087679
37	0.2791667821
38	0.2770264909
39	0.2766335235
40	0.2753965246
41	0.2741347108
42	0.2729553635
43	0.27236277
44	0.2717847336
45	0.2703421707
46	0.2694172544
47	0.2683079633
48	0.2660442419
49	0.2646794248
50	0.2640741771
51	0.2634742735
52	0.2629243578
53	0.2614792081
54	0.2611617663
55	0.2602071795
56	0.2589859644
57	0.2587154744
58	0.2582612827
59	0.2577676157
60	0.2572895324
61	0.2569215134
62	0.256394238
63	0.2558005237
64	0.2548780301
65	0.254416947
66	0.2539585925
67	0.2534042804
68	0.2526040054
69	0.2521743991
70	0.251858034
71	0.2512105789
72	0.2505013499
73	0.2496729943
74	0.2493296265
75	0.2490279733
76	0.2487316144
77	0.2469993664
78	0.2468365788
79	0.2460398969
80	0.2451703217
81	0.2446932849
82	0.2441382452
83	0.2437900361
84	0.2433219382
85	0.2428224004
86	0.2425231923
87	0.2414436651
88	0.2411583291
89	0.2405369907
90	0.2399181111
91	0.2393849692
92	0.2391040792
93	0.2383479961
94	0.2380892473
95	0.2378155839
96	0.2373932722
97	0.2372557714
98	0.2368935415
99	0.2363273364
100	0.2359526103
101	0.2351224208
102	0.2337398409
103	0.2331751516
104	0.2326932347
105	0.2318420672
106	0.2314509432
107	0.2311955321
108	0.2306096047
109	0.2297196358
110	0.2295648078
111	0.2291289626
112	0.2283820716
113	0.2278327525
114	0.2275244144
115	0.2271862469
116	0.2264948715
117	0.2256597933
118	0.225530965
119	0.2246076585
120	0.2242982223
121	0.2239081011
122	0.2230067186
123	0.2226539013
124	0.2218304308
125	0.2213159853
126	0.2209221601
127	0.2208723976
128	0.2204438814
129	0.2199222469
130	0.2198475883
131	0.2196304701
132	0.2193748193
133	0.2192608013
134	0.2189763944
135	0.2186476965
136	0.2184537096
137	0.2182853262
138	0.2181847955
139	0.2178458154
140	0.2175397409
141	0.2170804061
142	0.2168145453
143	0.216592361
144	0.2163051001
145	0.2161199087
146	0.2159529425
147	0.2158900611
148	0.2154435432
149	0.2152736443
150	0.2143385429
151	0.2142166086
152	0.2140888993
153	0.2139615723
154	0.2138265538
155	0.2135920863
156	0.2133766344
157	0.213194648
158	0.2124970808
159	0.2121838997
160	0.2104594855
161	0.2100790716
162	0.2097919168
163	0.2094169008
164	0.209251697
165	0.2091328196
166	0.2077024128
167	0.2074306185
168	0.2071418503
169	0.2070996825
170	0.2066514025
171	0.2065591362
172	0.2061148206
173	0.205984791
174	0.2056780854
175	0.2054595934
176	0.2051598432
177	0.2046086174
178	0.2044689148
179	0.2042700722
180	0.2041067762
181	0.2036551465
182	0.2030358981
183	0.2025261747
184	0.2019826979
185	0.2012025777
186	0.2008859267
187	0.1996043324
188	0.1990712746
189	0.198226878
190	0.1973484003
191	0.1962804776
192	0.1955156565
193	0.1952544459
194	0.1949843607
195	0.1946164997
196	0.1942200818
197	0.1939942298
198	0.1937328002
199	0.1931685742
