iter	Passed	Remaining
0	4	875
1	7	768
2	11	741
3	15	755
4	19	776
5	24	777
6	27	771
7	32	770
8	36	765
9	40	764
10	45	774
11	48	761
12	53	768
13	57	767
14	61	763
15	66	759
16	70	762
17	74	755
18	78	750
19	82	745
20	87	744
21	91	743
22	95	737
23	100	734
24	104	734
25	109	730
26	113	729
27	117	721
28	121	717
29	125	713
30	129	707
31	134	705
32	139	704
33	143	699
34	147	694
35	151	691
36	155	687
37	160	682
38	164	677
39	168	673
40	173	670
41	176	665
42	181	660
43	184	655
44	189	652
45	194	650
46	198	645
47	202	641
48	207	639
49	211	635
50	216	631
51	219	626
52	223	621
53	228	618
54	232	612
55	237	609
56	241	606
57	245	600
58	249	595
59	253	591
60	257	586
61	261	581
62	264	576
63	269	572
64	273	567
65	277	562
66	281	559
67	285	555
68	290	552
69	295	547
70	299	543
71	303	539
72	308	536
73	312	531
74	316	528
75	321	523
76	324	518
77	329	515
78	332	509
79	337	506
80	342	502
81	346	498
82	350	494
83	355	490
84	359	485
85	363	481
86	367	476
87	371	473
88	375	468
89	379	464
90	384	460
91	387	455
92	392	451
93	396	446
94	400	442
95	404	438
96	409	435
97	413	430
98	418	426
99	422	422
100	426	418
101	431	414
102	435	410
103	440	406
104	444	402
105	448	398
106	453	393
107	456	389
108	461	384
109	465	381
110	469	376
111	473	371
112	477	367
113	481	363
114	486	359
115	490	355
116	494	350
117	498	346
118	502	342
119	506	337
120	511	334
121	515	329
122	520	325
123	524	321
124	528	317
125	533	313
126	537	309
127	542	304
128	546	300
129	550	296
130	553	291
131	557	287
132	561	283
133	566	278
134	570	274
135	575	270
136	580	266
137	584	262
138	588	258
139	593	254
140	597	249
141	601	245
142	605	241
143	609	237
144	614	233
145	617	228
146	622	224
147	626	220
148	630	215
149	635	211
150	640	207
151	644	203
152	647	199
153	651	194
154	655	190
155	660	186
156	664	181
157	667	177
158	671	173
159	676	169
160	680	164
161	684	160
162	688	156
163	692	152
164	696	147
165	701	143
166	705	139
167	709	135
168	714	131
169	718	126
170	722	122
171	727	118
172	731	114
173	735	109
174	739	105
175	743	101
176	747	97
177	751	92
178	755	88
179	759	84
180	764	80
181	768	76
182	772	71
183	777	67
184	781	63
185	785	59
186	789	54
187	793	50
188	798	46
189	802	42
190	806	37
191	810	33
192	815	29
193	819	25
194	823	21
195	828	16
196	831	12
197	836	8
198	840	4
199	845	0
