application_id,timestamp,employer_id,sector,worker_id,nationality,skill_tier,declared_salary,est_monthly_load,suspicious_flag
7270,2025-02-11 06:00:00,10130,Manufacturing,500651,CN,2,3619.0,10,0
18011,2025-01-25 07:00:00,10282,Logistics,500578,BD,1,2042.0,5,0
524,2025-01-22 01:00:00,10174,Logistics,501477,PH,1,2913.0,5,0
9387,2025-02-28 11:00:00,10105,Logistics,501720,MY,2,2258.0,7,0
3618,2025-01-21 01:00:00,10263,Cleaning,500836,TH,2,2268.0,7,0
3037,2025-01-10 23:00:00,10077,Marine,501095,VN,3,3412.0,4,0
691,2025-01-09 19:00:00,10265,Manufacturing,501164,TH,2,2541.0,8,0
10550,2025-02-13 18:00:00,10272,Construction,500767,BD,1,2914.0,13,0
17559,2025-02-05 21:00:00,10146,Construction,500205,TH,1,2636.0,4,0
1321,2025-01-15 04:00:00,10033,Manufacturing,501586,IN,1,2766.0,4,0
7115,2025-02-12 15:00:00,10028,Manufacturing,500958,ID,2,3530.0,9,0
10172,2025-02-05 22:00:00,10276,F&B,501681,VN,1,2330.0,5,0
8095,2025-01-22 18:00:00,10149,Construction,501020,MY,3,3014.0,6,0
6161,2025-02-23 15:00:00,10161,Manufacturing,500005,TH,1,3315.0,6,0
4322,2025-01-20 05:00:00,10173,Logistics,500783,LK,1,2664.0,7,0
5442,2025-02-14 20:00:00,10179,Manufacturing,500852,IN,3,3241.0,6,0
17198,2025-01-27 23:00:00,10218,F&B,500833,LK,1,2181.0,7,0
12138,2025-01-27 19:00:00,10169,Construction,500118,PH,2,2544.0,9,0
12113,2025-01-29 08:00:00,10153,Marine,501473,LK,1,2239.0,10,0
11254,2025-02-08 03:00:00,10251,F&B,500729,BD,2,2789.0,9,0
18013,2025-01-09 13:00:00,10299,Construction,500333,PH,2,2951.0,13,0
5717,2025-02-02 07:00:00,10120,F&B,501947,LK,1,2315.0,7,0
265,2025-02-27 15:00:00,10286,Construction,500175,TH,2,3451.0,4,0
12895,2025-01-22 03:00:00,10057,Construction,500263,LK,3,3217.0,5,0
17899,2025-02-26 17:00:00,10202,F&B,500083,MM,2,4037.0,8,0
18478,2025-01-08 11:00:00,10049,Logistics,501033,IN,3,3542.0,10,0
5587,2025-01-28 15:00:00,10238,Marine,501265,ID,3,4461.0,10,0
15961,2025-01-29 22:00:00,10108,F&B,501173,VN,2,2742.0,8,0
10956,2025-01-03 21:00:00,10095,Marine,501817,VN,2,2146.0,5,0
1789,2025-01-15 07:00:00,10004,F&B,500018,MY,3,2692.0,7,0
144,2025-02-09 09:00:00,10282,Logistics,501315,LK,1,2314.0,5,0
16789,2025-01-09 20:00:00,10042,Logistics,501817,VN,2,3186.0,6,0
18030,2025-01-03 11:00:00,10171,Construction,500612,MY,2,2435.0,13,0
5140,2025-01-21 08:00:00,10108,F&B,500317,IN,1,2772.0,6,0
7040,2025-01-10 06:00:00,10016,Manufacturing,501519,TH,2,3288.0,8,0
5697,2025-01-01 15:00:00,10050,Logistics,501273,CN,3,3492.0,8,0
13133,2025-02-28 04:00:00,10186,Construction,500608,MM,3,3477.0,4,0
3572,2025-01-29 06:00:00,10053,F&B,500707,IN,2,2923.0,4,0
19485,2025-01-31 09:00:00,10043,F&B,501533,MY,3,3409.0,4,0
5741,2025-01-15 20:00:00,10027,Logistics,500650,ID,3,3257.0,12,0
1243,2025-02-18 21:00:00,10078,Manufacturing,500472,CN,1,3165.0,7,0
12439,2025-01-24 06:00:00,10190,Logistics,500409,LK,2,2999.0,6,0
16513,2025-03-01 22:00:00,10249,Construction,500319,BD,1,2334.0,11,0
17563,2025-01-27 23:00:00,10043,F&B,501794,VN,1,2503.0,2,0
11971,2025-02-12 22:00:00,10120,F&B,500479,ID,3,3486.0,7,0
344,2025-02-03 03:00:00,10208,Marine,501736,LK,3,3267.0,12,0
6085,2025-01-18 17:00:00,10056,Manufacturing,501761,MY,3,2960.0,4,0
15726,2025-01-23 23:00:00,10131,Manufacturing,501827,BD,1,2669.0,5,1
6131,2025-01-31 20:00:00,10183,Logistics,500993,ID,3,3407.0,6,1
6574,2025-02-17 07:00:00,10259,Manufacturing,500968,PH,1,3137.0,8,0
11907,2025-02-18 06:00:00,10061,Logistics,501382,IN,3,3207.0,7,0
1347,2025-01-26 18:00:00,10288,Manufacturing,501867,ID,2,3085.0,9,0
17818,2025-02-27 17:00:00,10113,F&B,500126,MM,1,2272.0,9,0
12512,2025-01-18 14:00:00,10272,Construction,500517,VN,1,2161.0,8,0
18454,2025-01-03 07:00:00,10192,Manufacturing,500116,ID,2,2114.0,8,0
1637,2025-01-29 09:00:00,10274,F&B,500470,IN,3,4240.0,5,0
7440,2025-02-09 04:00:00,10152,Cleaning,501006,PH,2,3508.0,9,0
7661,2025-01-07 04:00:00,10266,F&B,501220,PH,1,3124.0,5,0
2447,2025-01-01 16:00:00,10265,Manufacturing,500201,VN,2,3326.0,5,0
14017,2025-01-07 20:00:00,10052,F&B,500666,BD,2,2821.0,4,0
5499,2025-02-14 03:00:00,10040,Construction,500388,LK,2,2342.0,11,0
13609,2025-01-07 15:00:00,10263,Cleaning,500902,VN,3,3516.0,9,0
17845,2025-01-14 17:00:00,10269,Manufacturing,500223,MM,3,5044.0,7,0
11669,2025-01-26 04:00:00,10146,Construction,501919,MY,2,2884.0,4,0
14211,2025-02-24 16:00:00,10240,Construction,501103,MM,3,2636.0,7,0
5695,2025-01-23 22:00:00,10030,F&B,500810,VN,3,2572.0,4,0
8553,2025-02-20 07:00:00,10029,F&B,500570,IN,3,3386.0,10,0
4574,2025-01-05 23:00:00,10250,Marine,501081,CN,2,3584.0,7,0
10527,2025-01-07 17:00:00,10106,Logistics,500570,IN,3,3101.0,6,0
17524,2025-02-25 19:00:00,10139,F&B,500537,CN,2,2846.0,5,1
19282,2025-01-24 10:00:00,10148,Logistics,500006,TH,3,4683.0,7,0
19870,2025-01-09 06:00:00,10211,Logistics,500233,VN,2,2771.0,12,0
19736,2025-02-23 09:00:00,10050,Logistics,501762,PH,3,3128.0,3,0
5160,2025-02-01 14:00:00,10234,F&B,501695,MY,2,2609.0,7,0
4145,2025-01-02 13:00:00,10140,Cleaning,500121,ID,2,2789.0,2,0
8483,2025-01-08 02:00:00,10142,Marine,500662,IN,2,2996.0,8,0
11974,2025-02-08 16:00:00,10170,Construction,500182,IN,2,3532.0,3,1
1331,2025-02-18 20:00:00,10038,Marine,501702,BD,3,3510.0,8,0
19202,2025-01-15 13:00:00,10238,Marine,501741,BD,2,3318.0,8,0
9373,2025-01-16 18:00:00,10211,Logistics,500302,LK,3,4094.0,13,0
16008,2025-02-17 06:00:00,10079,Logistics,501024,CN,3,3489.0,10,0
7234,2025-01-13 07:00:00,10264,Cleaning,500951,VN,2,2309.0,7,0
16335,2025-02-13 09:00:00,10296,Cleaning,500135,PH,3,2803.0,6,0
6384,2025-02-21 16:00:00,10099,Construction,500861,TH,1,3851.0,6,0
4054,2025-01-16 10:00:00,10210,Marine,501343,MM,3,3086.0,6,0
12068,2025-01-12 15:00:00,10210,Marine,500078,MY,3,3476.0,7,0
4250,2025-02-01 01:00:00,10286,Construction,501341,CN,1,2617.0,3,0
2212,2025-01-02 09:00:00,10091,Logistics,500783,LK,1,2454.0,6,0
18963,2025-02-19 19:00:00,10232,Construction,501705,ID,2,2709.0,7,0
14487,2025-02-02 20:00:00,10264,Cleaning,501077,LK,2,2230.0,6,0
9305,2025-01-15 13:00:00,10213,F&B,501931,TH,2,2882.0,7,0
9653,2025-01-01 15:00:00,10233,Logistics,501109,BD,3,2794.0,5,0
7567,2025-02-28 03:00:00,10125,Manufacturing,501357,LK,3,4262.0,12,1
7698,2025-02-07 17:00:00,10019,F&B,500674,ID,3,2703.0,5,0
757,2025-02-06 08:00:00,10129,Manufacturing,501822,LK,3,2744.0,7,0
9698,2025-01-10 13:00:00,10257,Construction,500922,CN,2,2805.0,5,0
12997,2025-02-11 14:00:00,10213,F&B,500668,ID,1,2857.0,6,0
18637,2025-01-02 15:00:00,10289,F&B,501611,VN,3,3559.0,6,0
1176,2025-01-26 01:00:00,10237,F&B,500821,MM,3,3225.0,9,0
11569,2025-01-22 00:00:00,10009,Construction,500857,MY,2,3425.0,3,1
4825,2025-02-04 13:00:00,10180,Cleaning,500829,PH,2,2646.0,8,0
8688,2025-01-01 13:00:00,10018,Cleaning,500972,CN,1,3060.0,7,0
19165,2025-01-31 06:00:00,10044,Construction,501895,CN,3,4333.0,9,0
256,2025-01-25 15:00:00,10166,Marine,501370,LK,3,3586.0,5,0
16202,2025-01-24 13:00:00,10058,Logistics,500099,ID,3,2550.0,8,0
13363,2025-01-02 09:00:00,10198,F&B,500414,VN,1,2171.0,9,0
15474,2025-02-13 13:00:00,10180,Cleaning,500057,VN,1,1869.0,8,0
10671,2025-02-07 01:00:00,10140,Cleaning,500736,IN,3,2732.0,5,0
18287,2025-01-02 10:00:00,10190,Logistics,500782,TH,2,3496.0,3,0
4231,2025-01-02 20:00:00,10036,Cleaning,500586,BD,3,3878.0,4,0
17926,2025-02-15 09:00:00,10157,Manufacturing,501177,PH,1,2216.0,7,0
9814,2025-01-19 05:00:00,10234,F&B,500019,TH,1,1704.0,9,0
1009,2025-02-03 13:00:00,10299,Construction,501970,MY,1,2625.0,10,0
2264,2025-02-03 21:00:00,10146,Construction,500048,TH,1,2566.0,6,0
95,2025-02-21 11:00:00,10070,Logistics,500851,MY,3,3427.0,2,0
88,2025-01-18 18:00:00,10296,Cleaning,501519,TH,2,2698.0,6,0
4583,2025-01-31 05:00:00,10028,Manufacturing,501535,IN,1,2783.0,8,0
732,2025-02-12 10:00:00,10160,Cleaning,501722,ID,2,3462.0,8,0
16040,2025-02-05 18:00:00,10135,Marine,500057,VN,1,2621.0,12,0
15747,2025-02-10 01:00:00,10255,Construction,500886,MM,2,3286.0,5,0
16450,2025-02-10 22:00:00,10227,Manufacturing,501591,MY,2,3270.0,10,0
9522,2025-01-03 00:00:00,10299,Construction,501518,MM,2,2700.0,12,0
10529,2025-01-31 11:00:00,10119,Construction,500403,BD,3,3806.0,5,0
18990,2025-01-05 02:00:00,10137,Construction,500690,CN,2,2875.0,8,0
6933,2025-02-05 12:00:00,10087,Marine,500398,LK,2,2404.0,10,0
4433,2025-01-28 23:00:00,10135,Marine,500886,MM,2,2324.0,10,1
19649,2025-01-28 02:00:00,10032,Construction,501770,PH,3,3859.0,6,0
18665,2025-01-23 19:00:00,10023,Cleaning,500799,IN,3,3856.0,9,0
10602,2025-02-18 20:00:00,10195,Construction,501554,CN,2,3815.0,11,0
8823,2025-02-11 10:00:00,10050,Logistics,501368,BD,2,3095.0,9,0
18729,2025-02-23 19:00:00,10219,Cleaning,500437,BD,1,2040.0,10,0
14092,2025-01-12 05:00:00,10216,Construction,501024,CN,3,3627.0,8,0
6188,2025-02-15 03:00:00,10084,Manufacturing,500336,PH,2,2984.0,11,0
18150,2025-01-18 09:00:00,10041,Logistics,501498,TH,3,3880.0,9,0
3285,2025-02-26 14:00:00,10099,Construction,501517,CN,3,3976.0,5,0
4643,2025-01-02 10:00:00,10017,Construction,500209,MM,2,2857.0,6,0
6977,2025-01-29 11:00:00,10279,Construction,501814,ID,1,3145.0,10,0
